○　	日,か　
こうしゅ○	公衆,こうしゅう	口臭,こうしゅう	講習,こうしゅう
こうしゅ○い	絞首刑,こうしゅけい
こうしゅけ○	絞首刑,こうしゅけい
こうしょ○	交渉,こうしょう	公娼,こうしょう	公称,こうしょう	工廠,こうしょう	考証,こうしょう	高唱,こうしょう	高尚,こうしょう	哄笑,こうしょう	黄色,こうしょく	公職,こうしょく	好色,こうしょく	降職,こうしょく
こうしょ○にん	公証人,こうしょうにん
こうしょう○ん	公証人,こうしょうにん
こうしょうに○	公証人,こうしょうにん
こうしん○つ	甲信越,こうしんえつ
こうしんえ○	甲信越,こうしんえつ
こうじ○	口実,こうじつ	工事場,こうじば	昂じる,こうじる	黄塵,こうじん	公人,こうじん	幸甚,こうじん	荒神,こうじん
こうじ○ぶつ	好人物,こうじんぶつ
こうじゅ○	後述,こうじゅつ	口述,こうじゅつ
こうじょ○	交情,こうじょう	厚情,こうじょう	口上,こうじょう	向上,こうじょう	工場,こうじょう
こうじん○つ	好人物,こうじんぶつ
こうじんぶ○	好人物,こうじんぶつ
こうす○	硬水,こうすい	香水,こうすい	抗する,こうする
こうす○りょう	降水量,こうすいりょう
こうすい○う	降水量,こうすいりょう
こうすいりょ○	降水量,こうすいりょう
こうず○	洪水,こうずい	香水,こうずい	講ずる,こうずる	薨ずる,こうずる
こうせ○	後世,こうせい	公正,こうせい	厚生,こうせい	恒星,こうせい	抗生,こうせい	攻勢,こうせい	更正,こうせい	更生,こうせい	校正,こうせい	構成,こうせい	高声,こうせい	功績,こうせき	航跡,こうせき	鉱石,こうせき	交接,こうせつ	公設,こうせつ	巧拙,こうせつ	巷説,こうせつ	降雪,こうせつ	高説,こうせつ	交戦,こうせん	光線,こうせん	公選,こうせん	口銭,こうせん	抗戦,こうせん	鉱泉,こうせん
こうせ○ざい	抗生剤,こうせいざい
こうせ○てき	好戦的,こうせんてき
こうせい○い	抗生剤,こうせいざい
こうせいざ○	抗生剤,こうせいざい
こうせん○き	好戦的,こうせんてき
こうせんて○	好戦的,こうせんてき
こうぜ○	公然,こうぜん	昂然,こうぜん	浩然,こうぜん
こうぜ○のき	浩然の気,こうぜんのき
こうぜん○き	浩然の気,こうぜんのき
こうぜんの○	浩然の気,こうぜんのき
こうそ○	広壮,こうそう	抗争,こうそう	構想,こうそう	高僧,こうそう	高層,こうそう	拘束,こうそく	校則,こうそく	高速,こうそく	皇孫,こうそん
こうそ○ど	高速度,こうそくど
こうそく○	高速度,こうそくど
こうぞ○	構造,こうぞう	後続,こうぞく	皇族,こうぞく
こうた○	後退,こうたい	交替,こうたい	光沢,こうたく	降誕,こうたん
こうた○こう	皇太后,こうたいこう
こうた○し	皇太子,こうたいし
こうたい○	皇太子,こうたいし
こうたい○う	皇太后,こうたいこう
こうたいこ○	皇太后,こうたいこう
こうだ○	後代,こうだい	広大,こうだい	公団,こうだん	講壇,こうだん	講談,こうだん	降壇,こうだん	高段,こうだん
こうだ○し	好男子,こうだんし
こうだん○	好男子,こうだんし
こうち○	構築,こうちく	拘置所,こうちしょ	工賃,こうちん
こうちゃ○	膠着,こうちゃく
こうちゅ○	甲虫,こうちゅう
こうちょ○	候鳥,こうちょう	公聴,こうちょう	好調,こうちょう	校長,こうちょう	紅潮,こうちょう	硬直,こうちょく
こうちょ○かい	公聴会,こうちょうかい
こうちょう○い	公聴会,こうちょうかい
こうちょうか○	公聴会,こうちょうかい
こうつ○	交通,こうつう	こうつと,こうつと
こうつ○あんぜんげっ	交通安全月間,こうつうあんぜんげっ
こうつ○う	好都合,こうつごう
こうつ○どめ	交通止め,こうつうどめ
こうつ○ひ	交通費,こうつうひ
こうつ○もう	交通網,こうつうもう
こうつう○	交通費,こうつうひ
こうつう○う	交通網,こうつうもう
こうつう○め	交通止め,こうつうどめ
こうつう○んぜんげっ	交通安全月間,こうつうあんぜんげっ
こうつうあ○ぜんげっ	交通安全月間,こうつうあんぜんげっ
こうつうあん○んげっ	交通安全月間,こうつうあんぜんげっ
こうつうあんぜ○げっ	交通安全月間,こうつうあんぜんげっ
こうつうあんぜん○っ	交通安全月間,こうつうあんぜんげっ
こうつうあんぜんげ○	交通安全月間,こうつうあんぜんげっ
こうつうど○	交通止め,こうつうどめ
こうつうも○	交通網,こうつうもう
こうつご○	好都合,こうつごう
こうて○	公定,こうてい	工程,こうてい	校定・訂,こうてい	校庭,こうてい	皇帝,こうてい	肯定,こうてい	航程,こうてい	行程,こうてい	高低,こうてい	高弟,こうてい	好適,こうてき	交迭,こうてつ	鋼鉄,こうてつ	交点,こうてん	公転,こうてん	好天,こうてん	好転,こうてん	荒天,こうてん
こうて○しゅ	好敵手,こうてきしゅ
こうて○てき	後天的,こうてんてき
こうてき○	好敵手,こうてきしゅ
こうてん○き	後天的,こうてんてき
こうてんて○	後天的,こうてんてき
こうで○	拘泥,こうでい	公電,こうでん	香奠,こうでん
こうと○	口頭,こうとう	喉頭,こうとう	昂騰,こうとう	降等,こうとう	高等,こうとう	公徳,こうとく	高徳,こうとく
こうと○しん	公徳心,こうとくしん
こうと○てき	高踏的,こうとうてき
こうとう○き	高踏的,こうとうてき
こうとうて○	高踏的,こうとうてき
こうとく○ん	公徳心,こうとくしん
こうとくし○	公徳心,こうとくしん
こうど○	黄道,こうどう	坑道,こうどう	行動,こうどう	講堂,こうどう	講読,こうどく	購読,こうどく	鉱毒,こうどく
こうな○	坑内,こうない	校内,こうない	構内,こうない	港内,こうない	後難,こうなん
こうに○	後任,こうにん	公認,こうにん
こうにゅ○	購入,こうにゅう
こうね○	光熱,こうねつ	後年,こうねん	光年,こうねん	行年,こうねん
こうね○き	更年期,こうねんき
こうね○ひ	光熱費,こうねつひ
こうねつ○	光熱費,こうねつひ
こうねん○	更年期,こうねんき
こうの○	効能,こうのう
こうの○の	香のもの,こうのもの
こうのも○	香のもの,こうのもの
こうは○	興廃,こうはい	後輩,こうはい	交配,こうはい	向背,こうはい	荒廃,こうはい	紅白,こうはく	後発,こうはつ	撹拌,こうはん	後半,こうはん	公判,こうはん	孔版,こうはん	広汎・範,こうはん	甲板,こうはん
こうは○い	広範囲,こうはんい
こうは○しゅ	交配種,こうはいしゅ
こうは○せい	後半生,こうはんせい
こうは○ち	後背地,こうはいち
こうはい○	交配種,こうはいしゅ	後背地,こうはいち
こうはん○	広範囲,こうはんい
こうはん○い	後半生,こうはんせい
こうはんせ○	後半生,こうはんせい
こうば○	こうばい,こうばい	勾配,こうばい	購買,こうばい	広漠,こうばく	交番,こうばん	甲板,こうばん
こうば○い	こうばしい,こうばしい
こうば○すう	公倍数,こうばいすう
こうばい○う	公倍数,こうばいすう
こうばいす○	公倍数,こうばいすう
こうばし○	こうばしい,こうばしい
こうひ○	硬筆,こうひつ
こうひょ○	公表,こうひょう	好評,こうひょう	講評,こうひょう	高評,こうひょう
こうび○	後便,こうびん	幸便,こうびん
こうふ○	校風,こうふう	幸福,こうふく	降伏,こうふく	降服,こうふく	興奮,こうふん	公憤,こうふん	口吻,こうふん
こうぶ○	好物,こうぶつ	鉱物,こうぶつ	公文,こうぶん	構文,こうぶん	行文,こうぶん
こうぶ○しょ	公文書,こうぶんしょ
こうぶ○ぼ	公分母,こうぶんぼ
こうぶん○	公文書,こうぶんしょ	公分母,こうぶんぼ
こうへ○	公平,こうへい	工兵,こうへい	後篇,こうへん
こうべ○	向米,こうべい	抗弁,こうべん
こうほ○	後方,こうほう	公報,こうほう	工法,こうほう	広報,こうほう	高峰,こうほう	校本,こうほん	稿本,こうほん
こうぼ○	興亡,こうぼう	攻防,こうぼう	公僕,こうぼく	高木,こうぼく
こうま○	高慢,こうまん
こうみ○	公民,こうみん
こうみ○かん	公民館,こうみんかん
こうみゃ○	鉱脈,こうみゃく
こうみょ○	光明,こうみょう	功名,こうみょう	巧妙,こうみょう
こうみん○ん	公民館,こうみんかん
こうみんか○	公民館,こうみんかん
こうむ○	蒙る,こうむる
こうむ○ん	公務員,こうむいん
こうむい○	公務員,こうむいん
こうめ○	公明,こうめい	高名,こうめい
こうも○	綱目,こうもく	項目,こうもく	こうもり,こうもり	校門,こうもん	肛門,こうもん
こうも○がさ	こうもり傘,こうもりがさ
こうも○じん	紅毛人,こうもうじん
こうもう○ん	紅毛人,こうもうじん
こうもうじ○	紅毛人,こうもうじん
こうもり○さ	こうもり傘,こうもりがさ
こうもりが○	こうもり傘,こうもりがさ
こうや○	公約,こうやく	口約,こうやく	膏薬,こうやく
こうや○すう	公約数,こうやくすう
こうやく○う	公約数,こうやくすう
こうやくす○	公約数,こうやくすう
こうゆ○	交友,こうゆう	公有,こうゆう	校友,こうゆう
こうよ○	公用,こうよう	効用,こうよう	孝養,こうよう	紅葉,こうよう	高揚,こうよう
こうよ○じゅ	広葉樹,こうようじゅ
こうよう○	広葉樹,こうようじゅ
こうら○	行楽,こうらく	撹乱,こうらん
こうら○えん	後楽園,こうらくえん
こうらく○ん	後楽園,こうらくえん
こうらくえ○	後楽園,こうらくえん
こうり○	公立,こうりつ	効率,こうりつ	高率,こうりつ
こうり○し	高利貸し,こうりがし
こうりが○	高利貸し,こうりがし
こうりゃ○	攻略,こうりゃく
こうりゅ○	興隆,こうりゅう	交流,こうりゅう	拘留,こうりゅう
こうりょ○	校了,こうりょう	綱領,こうりょう	荒涼,こうりょう	香料,こうりょう	効力,こうりょく
こうれ○	好例,こうれい	恒例,こうれい	高齢,こうれい	後列,こうれつ
こうろ○	功労,こうろう	公論,こうろん	口論,こうろん
こうわ○	港湾,こうわん
こえ○	小枝,こえだ	小えび,こえび	越える,こえる	肥える,こえる
こえ○め	肥溜め,こえだめ
こえだ○	肥溜め,こえだめ
こお○	呼応,こおう	コース,こおす	コーチ,こおち	コート,こおと	コード,こおど	郡,こおり	氷,こおり	凍る,こおる
こお○あ	コーチャー,こおちゃあ	コーナー,こおなあ
こお○い	コーヒー,こおひい
こお○ぎ	こおろぎ,こおろぎ
こお○こ	小男,こおとこ
こお○ざとう	氷砂糖,こおりざとう
こお○す	コークス,こおくす	コーラス,こおらす
こお○すべり	氷すべり,こおりすべり
こお○たある	コールタール,こおるたある
こお○つく	凍りつく,こおりつく
こお○まくら	氷枕,こおりまくら
こお○みず	氷水,こおりみず
こお○り	こおどり,こおどり
こおく○	コークス,こおくす
こおちゃ○	コーチャー,こおちゃあ
こおと○	小男,こおとこ
こおど○	こおどり,こおどり
こおな○	コーナー,こおなあ
こおひ○	コーヒー,こおひい
こおら○	コーラス,こおらす
こおり○く	凍りつく,こおりつく
こおり○くら	氷枕,こおりまくら
こおり○ず	氷水,こおりみず
こおり○とう	氷砂糖,こおりざとう
こおり○べり	氷すべり,こおりすべり
こおりざ○う	氷砂糖,こおりざとう
こおりざと○	氷砂糖,こおりざとう
こおりす○り	氷すべり,こおりすべり
こおりすべ○	氷すべり,こおりすべり
こおりつ○	凍りつく,こおりつく
こおりま○ら	氷枕,こおりまくら
こおりまく○	氷枕,こおりまくら
こおりみ○	氷水,こおりみず
こおる○ある	コールタール,こおるたある
こおるた○る	コールタール,こおるたある
こおるたあ○	コールタール,こおるたある
こおろ○	こおろぎ,こおろぎ
こか○	木陰,こかげ	子方,こかた	枯渇,こかつ
こが○	戸外,こがい	子飼い,こがい	焦がす,こがす	小型,こがた	こがね,こがね	小柄,こがら
こが○し	こがらし,こがらし
こが○せ	小為替,こがわせ
こが○な	小刀,こがたな
こが○むし	こがねむし,こがねむし
こが○る	こがれる,こがれる
こがた○	小刀,こがたな
こがね○し	こがねむし,こがねむし
こがねむ○	こがねむし,こがねむし
こがら○	こがらし,こがらし
こがれ○	こがれる,こがれる
こがわ○	小為替,こがわせ
こき○かう	こき使う,こきつかう
こき○ぜる	こきまぜる,こきまぜる
こき○み	小刻み,こきざみ
こき○よい	小気味よい,こきみよい
こき○ろす	こきおろす,こきおろす
こきお○す	こきおろす,こきおろす
こきおろ○	こきおろす,こきおろす
こきざ○	小刻み,こきざみ
こきつ○う	こき使う,こきつかう
こきつか○	こき使う,こきつかう
こきま○る	こきまぜる,こきまぜる
こきまぜ○	こきまぜる,こきまぜる
こきみ○い	小気味よい,こきみよい
こきみよ○	小気味よい,こきみよい
こきゅ○	呼吸,こきゅう	故旧,こきゅう
こきゅ○き	呼吸器,こきゅうき
こきゅ○きびょう	呼吸器病,こきゅうきびょう
こきゅう○	呼吸器,こきゅうき
こきゅう○びょう	呼吸器病,こきゅうきびょう
こきゅうき○う	呼吸器病,こきゅうきびょう
こきゅうきびょ○	呼吸器病,こきゅうきびょう
こきょ○	故郷,こきょう
こぎ○い	小綺麗,こぎれい
こぎ○ける	こぎつける,こぎつける
こぎ○せる	漕ぎ寄せる,こぎよせる
こぎ○て	小切手,こぎって
こぎっ○	小切手,こぎって
こぎつ○る	こぎつける,こぎつける
こぎつけ○	こぎつける,こぎつける
こぎよ○る	漕ぎ寄せる,こぎよせる
こぎよせ○	漕ぎ寄せる,こぎよせる
こぎれ○	小綺麗,こぎれい
こく○	国威,こくい	虚空,こくう	国技,こくぎ	国語,こくご	国史,こくし	酷使,こくし	告示,こくじ	国事,こくじ	国字,こくじ	国璽,こくじ	酷似,こくじ	国手,こくしゅ	国書,こくしょ	酷暑,こくしょ	国是,こくぜ	告訴,こくそ	告知,こくち	国土,こくど	黒土,こくど	国費,こくひ	小首,こくび	国府,こくふ	国務,こくむ	告諭,こくゆ	こくり,こくり
こく○ある	こくのある,こくのある
こく○い	国営,こくえい	国外,こくがい	国債,こくさい	国際,こくさい	国粋,こくすい	国勢,こくせい	国政,こくせい	国税,こくぜい	国体,こくたい	国定,こくてい	国内,こくない	克明,こくめい	刻銘,こくめい	国名,こくめい	穀類,こくるい
こく○う	国王,こくおう	国境,こくきょう	国号,こくごう	国情,こくじょう	国葬,こくそう	穀倉,こくそう	国道,こくどう	酷評,こくひょう	国風,こくふう	国宝,こくほう	国法,こくほう	国防,こくぼう	国有,こくゆう
こく○か	国語科,こくごか
こく○き	国籍,こくせき
こく○く	国学,こくがく	国策,こくさく	黒色,こくしょく	国辱,こくじょく	国賊,こくぞく	告白,こくはく	酷薄,こくはく	黒白,こくびゃく	克復,こくふく	克服,こくふく	国訳,こくやく	国力,こくりょく
こく○しょう	国務省,こくむしょう
こく○つ	国鉄,こくてつ	告発,こくはつ	告別,こくべつ	穀物,こくもつ	国立,こくりつ
こく○ら	穀倉,こくぐら
こく○る	哭する,こくする
こく○ん	刻印,こくいん	国運,こくうん	黒雲,こくうん	刻限,こくげん	国産,こくさん	黒人,こくじん	黒点,こくてん	国電,こくでん	国難,こくなん	黒板,こくばん	国賓,こくひん	国文,こくぶん	国民,こくみん	国連,こくれん	国論,こくろん
こく○んがく	国文学,こくぶんがく
こく○んせい	国民性,こくみんせい
こく○んぽう	国文法,こくぶんぽう
こくい○	刻印,こくいん
こくう○	国運,こくうん	黒雲,こくうん
こくえ○	国営,こくえい
こくお○	国王,こくおう
こくが○	国外,こくがい	国学,こくがく
こくきょ○	国境,こくきょう
こくぐ○	穀倉,こくぐら
こくげ○	刻限,こくげん
こくご○	国号,こくごう	国語科,こくごか
こくさ○	国債,こくさい	国際,こくさい	国策,こくさく	国産,こくさん
こくしょ○	黒色,こくしょく
こくじ○	黒人,こくじん
こくじょ○	国情,こくじょう	国辱,こくじょく
こくす○	国粋,こくすい	哭する,こくする
こくせ○	国勢,こくせい	国政,こくせい	国籍,こくせき
こくぜ○	国税,こくぜい
こくそ○	国葬,こくそう	穀倉,こくそう
こくぞ○	国賊,こくぞく
こくた○	国体,こくたい
こくて○	国定,こくてい	国鉄,こくてつ	黒点,こくてん
こくで○	国電,こくでん
こくど○	国道,こくどう
こくな○	国内,こくない	国難,こくなん
こくの○る	こくのある,こくのある
こくのあ○	こくのある,こくのある
こくは○	告白,こくはく	酷薄,こくはく	告発,こくはつ
こくば○	黒板,こくばん
こくひ○	国賓,こくひん
こくひょ○	酷評,こくひょう
こくびゃ○	黒白,こくびゃく
こくふ○	国風,こくふう	克復,こくふく	克服,こくふく
こくぶ○	国文,こくぶん
こくぶ○がく	国文学,こくぶんがく
こくぶ○ぽう	国文法,こくぶんぽう
こくぶん○う	国文法,こくぶんぽう
こくぶん○く	国文学,こくぶんがく
こくぶんが○	国文学,こくぶんがく
こくぶんぽ○	国文法,こくぶんぽう
こくべ○	告別,こくべつ
こくほ○	国宝,こくほう	国法,こくほう
こくぼ○	国防,こくぼう
こくみ○	国民,こくみん
こくみ○せい	国民性,こくみんせい
こくみん○い	国民性,こくみんせい
こくみんせ○	国民性,こくみんせい
こくむ○う	国務省,こくむしょう
こくむしょ○	国務省,こくむしょう
こくめ○	克明,こくめい	刻銘,こくめい	国名,こくめい
こくも○	穀物,こくもつ
こくや○	国訳,こくやく
こくゆ○	国有,こくゆう
こくり○	国立,こくりつ
こくりょ○	国力,こくりょく
こくる○	穀類,こくるい
こくれ○	国連,こくれん
こくろ○	国論,こくろん
こぐ○	小口,こぐち	こぐま,こぐま
こぐ○ふんとう	孤軍奮闘,こぐんふんとう
こぐ○り	粉薬,こぐすり
こぐす○	粉薬,こぐすり
こぐん○んとう	孤軍奮闘,こぐんふんとう
こぐんふ○とう	孤軍奮闘,こぐんふんとう
こぐんふん○う	孤軍奮闘,こぐんふんとう
こぐんふんと○	孤軍奮闘,こぐんふんとう
こけ○	固形,こけい	こけし,こけし	こけら,こけら	沽券,こけん
こけ○どし	こけおどし,こけおどし
こけお○し	こけおどし,こけおどし
こけおど○	こけおどし,こけおどし
こげ○	焦げる,こげる
こげ○いろ	焦茶色,こげちゃいろ
こげ○き	こげつき,こげつき
こげ○く	焦げつく,こげつく
こげ○さい	焦げ臭い,こげくさい
こげく○い	焦げ臭い,こげくさい
こげくさ○	焦げ臭い,こげくさい
こげちゃ○ろ	焦茶色,こげちゃいろ
こげちゃい○	焦茶色,こげちゃいろ
こげつ○	こげつき,こげつき	焦げつく,こげつく
ここ○	ココア,ここあ	股肱,ここう	故国,ここく	心地,ここち	ここら,ここら	心,こころ	古今,ここん
ここ○あたり	心当たり,こころあたり
ここ○え	心得,こころえ
ここ○えちがい	心得違い,こころえちがい
ここ○える	心得る,こころえる
ここ○おき	心置き,こころおき
ここ○おぼえ	心覚え,こころおぼえ
ここ○か	ここのか,ここのか
ここ○がかり	心がかり,こころがかり
ここ○がけ	心がけ,こころがけ
ここ○がける	心がける,こころがける
ここ○がまえ	心構え,こころがまえ
ここ○がわり	心変わり,こころがわり
ここ○ぐみ	心組み,こころぐみ
ここ○ぐるしい	心苦しい,こころぐるしい
ここ○ざし	志,こころざし
ここ○ざす	志す,こころざす
ここ○しこ	ここかしこ,ここかしこ
ここ○つ	ここのつ,ここのつ
ここ○づかい	心づかい,こころづかい
ここ○づくし	心づくし,こころづくし
ここ○づけ	心付け,こころづけ
ここ○づよい	心強い,こころづよい
ここ○ならず	心ならず,こころならず
ここ○にくい	心憎い,こころにくい
ここ○ね	心根,こころね
ここ○のこり	心残り,こころのこり
ここ○ぼそい	心細い,こころぼそい
ここ○まち	心待ち,こころまち
ここ○み	試み,こころみ
ここ○みる	試みる,こころみる
ここ○もち	心持ち,こころもち
ここ○もとない	心許ない,こころもとない
ここ○やすい	心安い,こころやすい
ここ○やすだてに	心安立てに,こころやすだてに
ここ○やり	心やり,こころやり
ここ○ゆく	心ゆく,こころゆく
ここ○よい	快い,こころよい
ここ○ら	ここいら,ここいら
ここい○	ここいら,ここいら
ここか○こ	ここかしこ,ここかしこ
ここかし○	ここかしこ,ここかしこ
ここの○	ここのか,ここのか	ここのつ,ここのつ
こころ○	心得,こころえ	心根,こころね	試み,こころみ
こころ○い	快い,こころよい
こころ○かい	心づかい,こころづかい
こころ○かり	心がかり,こころがかり
こころ○き	心置き,こころおき
こころ○く	心ゆく,こころゆく
こころ○くい	心憎い,こころにくい
こころ○くし	心づくし,こころづくし
こころ○け	心がけ,こころがけ	心付け,こころづけ
こころ○ける	心がける,こころがける
こころ○こり	心残り,こころのこり
こころ○し	志,こころざし
こころ○す	志す,こころざす
こころ○すい	心安い,こころやすい
こころ○すだてに	心安立てに,こころやすだてに
こころ○そい	心細い,こころぼそい
こころ○たり	心当たり,こころあたり
こころ○ち	心待ち,こころまち	心持ち,こころもち
こころ○ちがい	心得違い,こころえちがい
こころ○とない	心許ない,こころもとない
こころ○ぼえ	心覚え,こころおぼえ
こころ○まえ	心構え,こころがまえ
こころ○み	心組み,こころぐみ
こころ○よい	心強い,こころづよい
こころ○らず	心ならず,こころならず
こころ○り	心やり,こころやり
こころ○る	心得る,こころえる	試みる,こころみる
こころ○るしい	心苦しい,こころぐるしい
こころ○わり	心変わり,こころがわり
こころあ○り	心当たり,こころあたり
こころあた○	心当たり,こころあたり
こころえ○	心得る,こころえる
こころえ○がい	心得違い,こころえちがい
こころえち○い	心得違い,こころえちがい
こころえちが○	心得違い,こころえちがい
こころお○	心置き,こころおき
こころお○え	心覚え,こころおぼえ
こころおぼ○	心覚え,こころおぼえ
こころが○	心がけ,こころがけ
こころが○え	心構え,こころがまえ
こころが○り	心がかり,こころがかり	心変わり,こころがわり
こころが○る	心がける,こころがける
こころがか○	心がかり,こころがかり
こころがけ○	心がける,こころがける
こころがま○	心構え,こころがまえ
こころがわ○	心変わり,こころがわり
こころぐ○	心組み,こころぐみ
こころぐ○しい	心苦しい,こころぐるしい
こころぐる○い	心苦しい,こころぐるしい
こころぐるし○	心苦しい,こころぐるしい
こころざ○	志,こころざし	志す,こころざす
こころづ○	心付け,こころづけ
こころづ○い	心づかい,こころづかい	心強い,こころづよい
こころづ○し	心づくし,こころづくし
こころづか○	心づかい,こころづかい
こころづく○	心づくし,こころづくし
こころづよ○	心強い,こころづよい
こころな○ず	心ならず,こころならず
こころなら○	心ならず,こころならず
こころに○い	心憎い,こころにくい
こころにく○	心憎い,こころにくい
こころの○り	心残り,こころのこり
こころのこ○	心残り,こころのこり
こころぼ○い	心細い,こころぼそい
こころぼそ○	心細い,こころぼそい
こころま○	心待ち,こころまち
こころみ○	試みる,こころみる
こころも○	心持ち,こころもち
こころも○ない	心許ない,こころもとない
こころもと○い	心許ない,こころもとない
こころもとな○	心許ない,こころもとない
こころや○	心やり,こころやり
こころや○い	心安い,こころやすい
こころや○だてに	心安立てに,こころやすだてに
こころやす○	心安い,こころやすい
こころやす○てに	心安立てに,こころやすだてに
こころやすだ○に	心安立てに,こころやすだてに
こころやすだて○	心安立てに,こころやすだてに
こころゆ○	心ゆく,こころゆく
こころよ○	快い,こころよい
こご○	小声,こごえ	こごと,こごと	粉米,こごめ	凝り,こごり	こごる,こごる
こご○つく	こごえつく,こごえつく
こご○る	こごえる,こごえる	凍える,こごえる
こごえ○	こごえる,こごえる	凍える,こごえる
こごえ○く	こごえつく,こごえつく
こごえつ○	こごえつく,こごえつく
こさ○	小作,こさく	小さじ,こさじ	小雨,こさめ	古参,こさん
こさ○る	こさえる,こさえる
こさえ○	こさえる,こさえる
こざ○	小皿,こざら
こざ○しい	小ざかしい,こざかしい
こざ○な	小ざかな,こざかな
こざ○ぱり	小ざっぱり,こざっぱり
こざか○	小ざかな,こざかな
こざか○い	小ざかしい,こざかしい
こざかし○	小ざかしい,こざかしい
こざっ○り	小ざっぱり,こざっぱり
こざっぱ○	小ざっぱり,こざっぱり
こし○	古式,こしき	固執,こしつ	腰湯,こしゆ	湖心,こしん
こし○え	こしらえ,こしらえ
こし○える	こしらえる,こしらえる
こし○き	腰つき,こしつき	腰巻,こしまき
こし○け	腰掛,こしかけ	腰抜け,こしぬけ
こし○ける	腰かける,こしかける
こし○そ	腰細,こしぼそ
こし○れ	輿入れ,こしいれ
こし○ん	腰弁,こしべん
こしい○	輿入れ,こしいれ
こしか○	腰掛,こしかけ
こしか○る	腰かける,こしかける
こしかけ○	腰かける,こしかける
こしつ○	腰つき,こしつき
こしぬ○	腰抜け,こしぬけ
こしべ○	腰弁,こしべん
こしぼ○	腰細,こしぼそ
こしま○	腰巻,こしまき
こしゃ○	小癪,こしゃく
こしゅ○	固執,こしゅう
こしょ○	こしょう,こしょう	呼称,こしょう	故障,こしょう	湖沼,こしょう	胡椒,こしょう	小姓,こしょう
こしら○	こしらえ,こしらえ
こしら○る	こしらえる,こしらえる
こしらえ○	こしらえる,こしらえる
こじ○	乞食,こじき	故実,こじつ	湖尻,こじり	こじる,こじる	個人,こじん	古人,こじん	故人,こじん
こじ○け	こじつけ,こじつけ
こじ○ける	こじあける,こじあける	こじつける,こじつける
こじ○さ	個人差,こじんさ
こじ○せる	こじらせる,こじらせる
こじ○る	こじれる,こじれる
こじ○ん	孤児院,こじいん
こじあ○る	こじあける,こじあける
こじあけ○	こじあける,こじあける
こじい○	孤児院,こじいん
こじつ○	こじつけ,こじつけ
こじつ○る	こじつける,こじつける
こじつけ○	こじつける,こじつける
こじょ○	古城,こじょう
こじら○る	こじらせる,こじらせる
こじらせ○	こじらせる,こじらせる
こじれ○	こじれる,こじれる
こじん○	個人差,こじんさ
こす○	こすい,こすい	湖水,こすい	鼓吹,こすい	戸数,こすう	コスト,こすと	こする,こする
こす○す	コスモス,こすもす
こす○つける	こすりつける,こすりつける
こすも○	コスモス,こすもす
こすり○ける	こすりつける,こすりつける
こすりつ○る	こすりつける,こすりつける
こすりつけ○	こすりつける,こすりつける
こず○	木末,こずえ
こせ○	個性,こせい	古跡,こせき	戸籍,こせき
こせ○じょう	古戦場,こせんじょう
こせ○せ	こせこせ,こせこせ
こせ○ぶつ	古生物,こせいぶつ
こせい○つ	古生物,こせいぶつ
こせいぶ○	古生物,こせいぶつ
こせこ○	こせこせ,こせこせ
こせん○う	古戦場,こせんじょう
こせんじょ○	古戦場,こせんじょう
こぜ○	小銭,こぜに
こそ○	姑息,こそく	小袖,こそで	こそり,こそり
こそ○そ	こそこそ,こそこそ
こそ○ゆい	こそばゆい,こそばゆい
こそ○る	こそぐる,こそぐる
こそ○ろ	こそ泥,こそどろ
こそぐ○	こそぐる,こそぐる
こそこ○	こそこそ,こそこそ
こそど○	こそ泥,こそどろ
こそば○い	こそばゆい,こそばゆい
こそばゆ○	こそばゆい,こそばゆい
こぞ○	小僧,こぞう	こぞる,こぞる
こぞ○て	こぞって,こぞって
こぞっ○	こぞって,こぞって
こた○	個体,こたい	固体,こたい	答え,こたえ	炬燵,こたつ	枯淡,こたん
こた○る	こたえる,こたえる	徹える,こたえる	答える,こたえる
こたえ○	こたえる,こたえる	徹える,こたえる	答える,こたえる
こだ○	古代,こだい	誇大,こだい	小出し,こだし	木立,こだち	子種,こだね	こだま,こだま
こだ○い	小高い,こだかい
こだ○ら	子宝,こだから
こだ○る	こだわる,こだわる
こだか○	小高い,こだかい	子宝,こだから
こだわ○	こだわる,こだわる
こち○	こちら,こちら
こち○ち	こちこち,こちこち
こち○ら	こちとら,こちとら
こちこ○	こちこち,こちこち
こちと○	こちとら,こちとら
こちゃ○	固着,こちゃく
こちょ○	誇張,こちょう
こぢ○まり	小ぢんまり,こぢんまり
こぢん○り	小ぢんまり,こぢんまり
こぢんま○	小ぢんまり,こぢんまり
こっ○	国家,こっか	国歌,こっか	国花,こっか	克己,こっき	国旗,こっき	コック,こっく	国庫,こっこ	骨子,こっし	こっち,こっち	こっぱ,こっぱ	コップ,こっぷ
こっ○い	国会,こっかい	滑稽,こっけい	国警,こっけい
こっ○う	国境,こっきょう	国交,こっこう	骨董,こっとう
こっ○く	骨格,こっかく	刻々,こっこく
こっ○つ	骨折,こっせつ
こっ○り	−こっきり,こっきり	こっくり,こっくり	こっそり,こっそり	こってり,こってり
こっ○ん	酷寒,こっかん	国禁,こっきん	国憲,こっけん	国権,こっけん
こっか○	国会,こっかい	骨格,こっかく	酷寒,こっかん
こっき○	−こっきり,こっきり	国禁,こっきん
こっきょ○	国境,こっきょう
こっく○	こっくり,こっくり
